"Plot Title: 21658049"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 21658049, SEN S/N: 21658049)","Temp, °F (LGR S/N: 21658049, SEN S/N: 21658049)","Coupler Attached (LGR S/N: 21658049)","Host Connected (LGR S/N: 21658049)","Coupler Detached (LGR S/N: 21658049)","End Of File (LGR S/N: 21658049)"
198,04/15/23 01:25:00 AM,9.32,68.18,,,,
199,04/15/23 01:30:00 AM,9.33,68.11,,,,
200,04/15/23 01:35:00 AM,9.33,68.07,,,,
201,04/15/23 01:40:00 AM,9.34,68.00,,,,
202,04/15/23 01:45:00 AM,9.34,67.96,,,,
203,04/15/23 01:50:00 AM,9.35,67.89,,,,
204,04/15/23 01:55:00 AM,9.35,67.86,,,,
205,04/15/23 02:00:00 AM,9.35,67.78,,,,
206,04/15/23 02:05:00 AM,9.38,67.75,,,,
207,04/15/23 02:10:00 AM,9.36,67.68,,,,
208,04/15/23 02:15:00 AM,9.38,67.64,,,,
209,04/15/23 02:20:00 AM,9.40,67.57,,,,
210,04/15/23 02:25:00 AM,9.39,67.53,,,,
211,04/15/23 02:30:00 AM,9.40,67.46,,,,
212,04/15/23 02:35:00 AM,9.40,67.42,,,,
213,04/15/23 02:40:00 AM,9.41,67.35,,,,
214,04/15/23 02:45:00 AM,9.41,67.32,,,,
215,04/15/23 02:50:00 AM,9.42,67.24,,,,
216,04/15/23 02:55:00 AM,9.42,67.21,,,,
217,04/15/23 03:00:00 AM,9.42,67.14,,,,
218,04/15/23 03:05:00 AM,9.43,67.10,,,,
219,04/15/23 03:10:00 AM,9.44,67.03,,,,
220,04/15/23 03:15:00 AM,9.45,66.99,,,,
221,04/15/23 03:20:00 AM,9.45,66.92,,,,
222,04/15/23 03:25:00 AM,9.46,66.88,,,,
223,04/15/23 03:30:00 AM,9.46,66.85,,,,
224,04/15/23 03:35:00 AM,9.47,66.78,,,,
225,04/15/23 03:40:00 AM,9.47,66.74,,,,
226,04/15/23 03:45:00 AM,9.48,66.67,,,,
227,04/15/23 03:50:00 AM,9.48,66.63,,,,
228,04/15/23 03:55:00 AM,9.48,66.56,,,,
229,04/15/23 04:00:00 AM,9.49,66.52,,,,
230,04/15/23 04:05:00 AM,9.49,66.45,,,,
231,04/15/23 04:10:00 AM,9.50,66.42,,,,
232,04/15/23 04:15:00 AM,9.50,66.38,,,,
233,04/15/23 04:20:00 AM,9.52,66.31,,,,
234,04/15/23 04:25:00 AM,9.53,66.27,,,,
235,04/15/23 04:30:00 AM,9.54,66.20,,,,
236,04/15/23 04:35:00 AM,9.54,66.16,,,,
237,04/15/23 04:40:00 AM,9.54,66.09,,,,
238,04/15/23 04:45:00 AM,9.54,66.06,,,,
239,04/15/23 04:50:00 AM,9.55,65.98,,,,
240,04/15/23 04:55:00 AM,9.56,65.95,,,,
241,04/15/23 05:00:00 AM,9.56,65.91,,,,
242,04/15/23 05:05:00 AM,9.56,65.84,,,,
243,04/15/23 05:10:00 AM,9.57,65.80,,,,
244,04/15/23 05:15:00 AM,9.57,65.77,,,,
245,04/15/23 05:20:00 AM,9.58,65.70,,,,
246,04/15/23 05:25:00 AM,9.58,65.66,,,,
247,04/15/23 05:30:00 AM,9.59,65.62,,,,
248,04/15/23 05:35:00 AM,9.59,65.55,,,,
249,04/15/23 05:40:00 AM,9.60,65.52,,,,
250,04/15/23 05:45:00 AM,9.60,65.48,,,,
251,04/15/23 05:50:00 AM,9.61,65.44,,,,
252,04/15/23 05:55:00 AM,9.61,65.41,,,,
253,04/15/23 06:00:00 AM,9.61,65.37,,,,
254,04/15/23 06:05:00 AM,9.62,65.34,,,,
255,04/15/23 06:10:00 AM,9.61,65.30,,,,
256,04/15/23 06:15:00 AM,9.62,65.26,,,,
257,04/15/23 06:20:00 AM,9.63,65.23,,,,
258,04/15/23 06:25:00 AM,9.63,65.19,,,,
259,04/15/23 06:30:00 AM,9.63,65.19,,,,
260,04/15/23 06:35:00 AM,9.63,65.16,,,,
261,04/15/23 06:40:00 AM,9.64,65.12,,,,
262,04/15/23 06:45:00 AM,9.64,65.12,,,,
263,04/15/23 06:50:00 AM,9.64,65.08,,,,
264,04/15/23 06:55:00 AM,9.64,65.05,,,,
265,04/15/23 07:00:00 AM,9.64,65.05,,,,
266,04/15/23 07:05:00 AM,9.65,65.01,,,,
267,04/15/23 07:10:00 AM,9.65,65.01,,,,
268,04/15/23 07:15:00 AM,9.65,65.01,,,,
269,04/15/23 07:20:00 AM,9.65,64.98,,,,
270,04/15/23 07:25:00 AM,9.65,64.98,,,,
271,04/15/23 07:30:00 AM,9.65,64.98,,,,
272,04/15/23 07:35:00 AM,9.65,64.94,,,,
273,04/15/23 07:40:00 AM,9.67,64.94,,,,
274,04/15/23 07:45:00 AM,9.67,64.94,,,,
275,04/15/23 07:50:00 AM,9.67,64.94,,,,
276,04/15/23 07:55:00 AM,9.65,64.94,,,,
277,04/15/23 08:00:00 AM,9.67,64.94,,,,
278,04/15/23 08:05:00 AM,9.67,64.90,,,,
279,04/15/23 08:10:00 AM,9.68,64.90,,,,
280,04/15/23 08:15:00 AM,9.67,64.90,,,,
281,04/15/23 08:20:00 AM,9.67,64.90,,,,
282,04/15/23 08:25:00 AM,9.67,64.90,,,,
283,04/15/23 08:30:00 AM,9.67,64.90,,,,
284,04/15/23 08:35:00 AM,9.67,64.90,,,,
285,04/15/23 08:40:00 AM,9.67,64.90,,,,
286,04/15/23 08:45:00 AM,9.67,64.90,,,,
287,04/15/23 08:50:00 AM,9.68,64.90,,,,
288,04/15/23 08:55:00 AM,9.68,64.90,,,,
289,04/15/23 09:00:00 AM,9.67,64.90,,,,
290,04/15/23 09:05:00 AM,9.67,64.90,,,,
291,04/15/23 09:10:00 AM,9.68,64.90,,,,
292,04/15/23 09:15:00 AM,9.67,64.87,,,,
293,04/15/23 09:20:00 AM,9.67,64.87,,,,
294,04/15/23 09:25:00 AM,9.68,64.87,,,,
295,04/15/23 09:30:00 AM,9.67,64.87,,,,
296,04/15/23 09:35:00 AM,9.68,64.87,,,,
297,04/15/23 09:40:00 AM,9.68,64.87,,,,
298,04/15/23 09:45:00 AM,9.68,64.87,,,,
299,04/15/23 09:50:00 AM,9.68,64.83,,,,
300,04/15/23 09:55:00 AM,9.68,64.83,,,,
301,04/15/23 10:00:00 AM,9.68,64.83,,,,
302,04/15/23 10:05:00 AM,9.68,64.83,,,,
303,04/15/23 10:10:00 AM,9.68,64.83,,,,
304,04/15/23 10:15:00 AM,9.68,64.80,,,,
305,04/15/23 10:20:00 AM,9.68,64.80,,,,
306,04/15/23 10:25:00 AM,9.68,64.80,,,,
307,04/15/23 10:30:00 AM,9.68,64.80,,,,
308,04/15/23 10:35:00 AM,9.69,64.76,,,,
309,04/15/23 10:40:00 AM,9.68,64.76,,,,
310,04/15/23 10:45:00 AM,9.68,64.76,,,,
311,04/15/23 10:50:00 AM,9.69,64.76,,,,
312,04/15/23 10:55:00 AM,9.69,64.72,,,,
313,04/15/23 11:00:00 AM,9.69,64.72,,,,
314,04/15/23 11:05:00 AM,9.69,64.72,,,,
315,04/15/23 11:10:00 AM,9.69,64.69,,,,
316,04/15/23 11:15:00 AM,9.70,64.69,,,,
317,04/15/23 11:20:00 AM,9.70,64.69,,,,
318,04/15/23 11:25:00 AM,9.69,64.69,,,,
319,04/15/23 11:30:00 AM,9.70,64.65,,,,
320,04/15/23 11:35:00 AM,9.70,64.65,,,,
321,04/15/23 11:40:00 AM,9.69,64.62,,,,
322,04/15/23 11:45:00 AM,9.69,64.62,,,,
323,04/15/23 11:50:00 AM,9.71,64.62,,,,
324,04/15/23 11:55:00 AM,9.71,64.58,,,,
325,04/15/23 12:00:00 PM,9.71,64.58,,,,
326,04/15/23 12:05:00 PM,9.71,64.58,,,,
327,04/15/23 12:10:00 PM,9.71,64.54,,,,
328,04/15/23 12:15:00 PM,9.71,64.54,,,,
329,04/15/23 12:20:00 PM,9.71,64.54,,,,
330,04/15/23 12:25:00 PM,9.71,64.51,,,,
331,04/15/23 12:30:00 PM,9.71,64.51,,,,
332,04/15/23 12:35:00 PM,9.72,64.51,,,,
333,04/15/23 12:40:00 PM,9.72,64.47,,,,
334,04/15/23 12:45:00 PM,9.71,64.47,,,,
335,04/15/23 12:50:00 PM,9.72,64.47,,,,
336,04/15/23 12:55:00 PM,9.72,64.47,,,,
337,04/15/23 01:00:00 PM,9.72,64.44,,,,
338,04/15/23 01:05:00 PM,9.72,64.44,,,,
339,04/15/23 01:10:00 PM,9.72,64.44,,,,
340,04/15/23 01:15:00 PM,9.72,64.44,,,,
341,04/15/23 01:20:00 PM,9.73,64.44,,,,
342,04/15/23 01:25:00 PM,9.72,64.44,,,,
343,04/15/23 01:30:00 PM,9.72,64.40,,,,
344,04/15/23 01:35:00 PM,9.72,64.40,,,,
345,04/15/23 01:40:00 PM,9.73,64.40,,,,
346,04/15/23 01:45:00 PM,9.73,64.40,,,,
347,04/15/23 01:50:00 PM,9.72,64.40,,,,
348,04/15/23 01:55:00 PM,9.72,64.40,,,,
349,04/15/23 02:00:00 PM,9.72,64.40,,,,
350,04/15/23 02:05:00 PM,9.72,64.40,,,,
351,04/15/23 02:10:00 PM,9.72,64.44,,,,
352,04/15/23 02:15:00 PM,9.73,64.44,,,,
353,04/15/23 02:20:00 PM,9.74,64.44,,,,
354,04/15/23 02:25:00 PM,9.72,64.44,,,,
355,04/15/23 02:30:00 PM,9.72,64.44,,,,
356,04/15/23 02:35:00 PM,9.71,64.44,,,,
357,04/15/23 02:40:00 PM,9.72,64.44,,,,
358,04/15/23 02:45:00 PM,9.72,64.47,,,,
359,04/15/23 02:50:00 PM,9.72,64.47,,,,
360,04/15/23 02:55:00 PM,9.71,64.47,,,,
361,04/15/23 03:00:00 PM,9.72,64.47,,,,
362,04/15/23 03:05:00 PM,9.71,64.47,,,,
363,04/15/23 03:10:00 PM,9.72,64.51,,,,
364,04/15/23 03:15:00 PM,9.71,64.51,,,,
365,04/15/23 03:20:00 PM,9.71,64.51,,,,
366,04/15/23 03:25:00 PM,9.71,64.51,,,,
367,04/15/23 03:30:00 PM,9.70,64.54,,,,
368,04/15/23 03:35:00 PM,9.71,64.54,,,,
369,04/15/23 03:40:00 PM,9.71,64.54,,,,
370,04/15/23 03:45:00 PM,9.70,64.58,,,,
371,04/15/23 03:50:00 PM,9.70,64.58,,,,
372,04/15/23 03:55:00 PM,9.70,64.62,,,,
373,04/15/23 04:00:00 PM,9.70,64.62,,,,
374,04/15/23 04:05:00 PM,9.70,64.62,,,,
375,04/15/23 04:10:00 PM,9.70,64.65,,,,
376,04/15/23 04:15:00 PM,9.70,64.65,,,,
377,04/15/23 04:20:00 PM,9.70,64.69,,,,
378,04/15/23 04:25:00 PM,9.69,64.69,,,,
379,04/15/23 04:30:00 PM,9.69,64.69,,,,
380,04/15/23 04:35:00 PM,9.69,64.69,,,,
381,04/15/23 04:40:00 PM,9.69,64.72,,,,
382,04/15/23 04:45:00 PM,9.68,64.72,,,,
383,04/15/23 04:50:00 PM,9.69,64.72,,,,
384,04/15/23 04:55:00 PM,9.68,64.72,,,,
385,04/15/23 05:00:00 PM,9.68,64.72,,,,
386,04/15/23 05:05:00 PM,9.68,64.76,,,,
387,04/15/23 05:10:00 PM,9.68,64.76,,,,
388,04/15/23 05:15:00 PM,9.68,64.76,,,,
389,04/15/23 05:20:00 PM,9.67,64.76,,,,
390,04/15/23 05:25:00 PM,9.68,64.76,,,,
391,04/15/23 05:30:00 PM,9.68,64.76,,,,
392,04/15/23 05:35:00 PM,9.68,64.76,,,,
393,04/15/23 05:40:00 PM,9.68,64.76,,,,
394,04/15/23 05:45:00 PM,9.68,64.76,,,,
395,04/15/23 05:50:00 PM,9.68,64.76,,,,
396,04/15/23 05:55:00 PM,9.68,64.76,,,,
397,04/15/23 06:00:00 PM,9.68,64.72,,,,
398,04/15/23 06:05:00 PM,9.68,64.72,,,,
399,04/15/23 06:10:00 PM,9.68,64.72,,,,
400,04/15/23 06:15:00 PM,9.68,64.72,,,,
401,04/15/23 06:20:00 PM,9.68,64.72,,,,
402,04/15/23 06:25:00 PM,9.68,64.72,,,,
403,04/15/23 06:30:00 PM,9.68,64.69,,,,
404,04/15/23 06:35:00 PM,9.69,64.69,,,,
405,04/15/23 06:40:00 PM,9.69,64.69,,,,
406,04/15/23 06:45:00 PM,9.69,64.69,,,,
407,04/15/23 06:50:00 PM,9.69,64.65,,,,
408,04/15/23 06:55:00 PM,9.69,64.65,,,,
409,04/15/23 07:00:00 PM,9.69,64.65,,,,
410,04/15/23 07:05:00 PM,9.69,64.62,,,,
411,04/15/23 07:10:00 PM,9.69,64.62,,,,
412,04/15/23 07:15:00 PM,9.70,64.58,,,,
413,04/15/23 07:20:00 PM,9.69,64.58,,,,
414,04/15/23 07:25:00 PM,9.69,64.58,,,,
415,04/15/23 07:30:00 PM,9.69,64.54,,,,
416,04/15/23 07:35:00 PM,9.70,64.54,,,,
417,04/15/23 07:40:00 PM,9.70,64.51,,,,
418,04/15/23 07:45:00 PM,9.70,64.51,,,,
419,04/15/23 07:50:00 PM,9.69,64.51,,,,
420,04/15/23 07:55:00 PM,9.70,64.47,,,,
421,04/15/23 08:00:00 PM,9.70,64.47,,,,
422,04/15/23 08:05:00 PM,9.70,64.47,,,,
423,04/15/23 08:10:00 PM,9.71,64.44,,,,
424,04/15/23 08:15:00 PM,9.70,64.44,,,,
425,04/15/23 08:20:00 PM,9.71,64.40,,,,
426,04/15/23 08:25:00 PM,9.71,64.40,,,,
427,04/15/23 08:30:00 PM,9.71,64.36,,,,
428,04/15/23 08:35:00 PM,9.71,64.36,,,,
429,04/15/23 08:40:00 PM,9.71,64.33,,,,
430,04/15/23 08:45:00 PM,9.72,64.33,,,,
431,04/15/23 08:50:00 PM,9.72,64.29,,,,
432,04/15/23 08:55:00 PM,9.72,64.29,,,,
433,04/15/23 09:00:00 PM,9.72,64.29,,,,
434,04/15/23 09:05:00 PM,9.73,64.26,,,,
435,04/15/23 09:10:00 PM,9.72,64.22,,,,
436,04/15/23 09:15:00 PM,9.72,64.22,,,,
437,04/15/23 09:20:00 PM,9.73,64.18,,,,
438,04/15/23 09:25:00 PM,9.73,64.18,,,,
439,04/15/23 09:30:00 PM,9.73,64.15,,,,
440,04/15/23 09:35:00 PM,9.74,64.15,,,,
441,04/15/23 09:40:00 PM,9.73,64.11,,,,
442,04/15/23 09:45:00 PM,9.74,64.11,,,,
443,04/15/23 09:50:00 PM,9.73,64.08,,,,
444,04/15/23 09:55:00 PM,9.74,64.04,,,,
445,04/15/23 10:00:00 PM,9.74,64.04,,,,
446,04/15/23 10:05:00 PM,9.75,64.00,,,,
447,04/15/23 10:10:00 PM,9.75,63.97,,,,
448,04/15/23 10:15:00 PM,9.75,63.97,,,,
449,04/15/23 10:20:00 PM,9.76,63.93,,,,
450,04/15/23 10:25:00 PM,9.75,63.90,,,,
451,04/15/23 10:30:00 PM,9.76,63.90,,,,
452,04/15/23 10:35:00 PM,9.76,63.86,,,,
453,04/15/23 10:40:00 PM,9.76,63.86,,,,
454,04/15/23 10:45:00 PM,9.76,63.82,,,,
455,04/15/23 10:50:00 PM,9.77,63.79,,,,
456,04/15/23 10:55:00 PM,9.77,63.79,,,,
457,04/15/23 11:00:00 PM,9.76,63.75,,,,
458,04/15/23 11:05:00 PM,9.77,63.75,,,,
459,04/15/23 11:10:00 PM,9.77,63.72,,,,
460,04/15/23 11:15:00 PM,9.76,63.72,,,,
461,04/15/23 11:20:00 PM,9.77,63.68,,,,
462,04/15/23 11:25:00 PM,9.77,63.68,,,,
463,04/15/23 11:30:00 PM,9.78,63.64,,,,
464,04/15/23 11:35:00 PM,9.77,63.64,,,,
465,04/15/23 11:40:00 PM,9.77,63.64,,,,
466,04/15/23 11:45:00 PM,9.78,63.61,,,,
467,04/15/23 11:50:00 PM,9.78,63.61,,,,
468,04/15/23 11:55:00 PM,9.77,63.61,,,,
469,04/16/23 12:00:00 AM,9.77,63.57,,,,
470,04/16/23 12:05:00 AM,9.78,63.57,,,,
