"Plot Title: SC StA DO Meter"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 21658049, SEN S/N: 21658049)","Temp, °F (LGR S/N: 21658049, SEN S/N: 21658049)","Bad Battery (LGR S/N: 21658049)","Coupler Detached (LGR S/N: 21658049)","Good Battery (LGR S/N: 21658049)","Coupler Attached (LGR S/N: 21658049)","Host Connected (LGR S/N: 21658049)","End Of File (LGR S/N: 21658049)"
91,04/24/23 01:28:54 AM,12.33,42.12,,,,,,
92,04/24/23 02:28:54 AM,12.37,42.01,,,,,,
93,04/24/23 03:28:54 AM,12.39,41.86,,,,,,
94,04/24/23 04:28:54 AM,12.41,41.72,,,,,,
95,04/24/23 05:28:54 AM,12.43,41.61,,,,,,
96,04/24/23 06:28:54 AM,12.44,41.54,,,,,,
97,04/24/23 07:28:54 AM,12.45,41.47,,,,,,
98,04/24/23 08:28:54 AM,12.47,41.47,,,,,,
99,04/24/23 09:28:54 AM,12.47,41.68,,,,,,
100,04/24/23 10:28:54 AM,12.48,42.08,,,,,,
101,04/24/23 11:28:54 AM,12.45,42.66,,,,,,
102,04/24/23 12:28:54 PM,12.43,42.98,,,,,,
103,04/24/23 01:28:54 PM,12.39,43.41,,,,,,
104,04/24/23 02:28:54 PM,12.37,43.88,,,,,,
105,04/24/23 03:28:54 PM,12.31,44.46,,,,,,
106,04/24/23 04:28:54 PM,12.24,44.89,,,,,,
107,04/24/23 05:28:54 PM,12.16,44.96,,,,,,
108,04/24/23 06:28:54 PM,12.13,44.78,,,,,,
109,04/24/23 07:28:54 PM,12.08,44.56,,,,,,
110,04/24/23 08:28:54 PM,12.06,44.20,,,,,,
111,04/24/23 09:28:54 PM,12.05,43.95,,,,,,
112,04/24/23 10:28:54 PM,12.06,43.66,,,,,,
113,04/24/23 11:28:54 PM,12.06,43.52,,,,,,
114,04/25/23 12:28:54 AM,12.05,43.45,,,,,,
115,04/25/23 01:28:54 AM,12.08,43.38,,,,,,
116,04/25/23 02:28:54 AM,12.08,43.30,,,,,,
117,04/25/23 03:28:54 AM,12.08,43.20,,,,,,
118,04/25/23 04:28:54 AM,12.10,43.09,,,,,,
119,04/25/23 05:28:54 AM,12.10,42.98,,,,,,
120,04/25/23 06:28:54 AM,12.11,42.87,,,,,,
121,04/25/23 07:28:54 AM,12.12,42.76,,,,,,
122,04/25/23 08:28:54 AM,12.14,42.76,,,,,,
123,04/25/23 09:28:54 AM,12.18,42.94,,,,,,
124,04/25/23 10:28:54 AM,12.19,43.41,,,,,,
125,04/25/23 11:28:54 AM,12.19,43.99,,,,,,
126,04/25/23 12:28:54 PM,12.16,44.42,,,,,,
127,04/25/23 01:28:54 PM,12.13,45.14,,,,,,
128,04/25/23 02:28:54 PM,12.07,45.79,,,,,,
129,04/25/23 03:28:54 PM,12.03,46.22,,,,,,
130,04/25/23 04:28:54 PM,11.95,46.51,,,,,,
131,04/25/23 05:28:54 PM,11.91,46.51,,,,,,
132,04/25/23 06:28:54 PM,11.84,46.29,,,,,,
133,04/25/23 07:28:54 PM,11.81,45.97,,,,,,
134,04/25/23 08:28:54 PM,11.79,45.61,,,,,,
135,04/25/23 09:28:54 PM,11.77,45.25,,,,,,
136,04/25/23 10:28:54 PM,11.77,45.00,,,,,,
137,04/25/23 11:28:54 PM,11.77,44.74,,,,,,
138,04/26/23 12:28:54 AM,11.77,44.56,,,,,,
139,04/26/23 01:28:54 AM,11.77,44.42,,,,,,
140,04/26/23 02:28:54 AM,11.79,44.31,,,,,,
141,04/26/23 03:28:54 AM,11.79,44.20,,,,,,
142,04/26/23 04:28:54 AM,11.81,44.06,,,,,,
143,04/26/23 05:28:54 AM,11.82,43.95,,,,,,
144,04/26/23 06:28:54 AM,11.85,43.81,,,,,,
145,04/26/23 07:28:54 AM,11.88,43.70,,,,,,
146,04/26/23 08:28:54 AM,11.90,43.63,,,,,,
147,04/26/23 09:28:54 AM,11.93,43.63,,,,,,
148,04/26/23 10:28:54 AM,11.94,43.74,,,,,,
149,04/26/23 11:28:54 AM,11.96,43.99,,,,,,
150,04/26/23 12:28:54 PM,11.99,44.20,,,,,,
151,04/26/23 01:28:54 PM,11.98,44.60,,,,,,
152,04/26/23 02:28:54 PM,11.98,45.03,,,,,,
153,04/26/23 03:28:54 PM,11.94,45.50,,,,,,
154,04/26/23 04:28:54 PM,11.91,45.93,,,,,,
155,04/26/23 05:28:54 PM,11.88,46.04,,,,,,
156,04/26/23 06:28:54 PM,11.88,45.86,,,,,,
157,04/26/23 07:28:54 PM,11.85,45.75,,,,,,
158,04/26/23 08:28:54 PM,11.82,45.57,,,,,,
159,04/26/23 09:28:54 PM,11.80,45.28,,,,,,
160,04/26/23 10:28:54 PM,11.78,45.00,,,,,,
161,04/26/23 11:28:54 PM,11.77,44.74,,,,,,
162,04/27/23 12:28:54 AM,11.78,44.60,,,,,,
163,04/27/23 01:28:54 AM,11.77,44.46,,,,,,
164,04/27/23 02:28:54 AM,11.80,44.31,,,,,,
165,04/27/23 03:28:54 AM,11.80,44.17,,,,,,
166,04/27/23 04:28:54 AM,11.81,44.02,,,,,,
167,04/27/23 05:28:54 AM,11.84,43.84,,,,,,
168,04/27/23 06:28:54 AM,11.84,43.70,,,,,,
169,04/27/23 07:28:54 AM,11.89,43.56,,,,,,
170,04/27/23 08:28:54 AM,11.90,43.59,,,,,,
171,04/27/23 09:28:54 AM,11.93,43.84,,,,,,
172,04/27/23 10:28:54 AM,11.96,44.31,,,,,,
173,04/27/23 11:28:54 AM,11.98,44.89,,,,,,
174,04/27/23 12:28:54 PM,11.96,45.64,,,,,,
175,04/27/23 01:28:54 PM,11.93,46.40,,,,,,
176,04/27/23 02:28:54 PM,11.90,47.12,,,,,,
177,04/27/23 03:28:54 PM,11.83,47.66,,,,,,
178,04/27/23 04:28:54 PM,11.76,47.98,,,,,,
179,04/27/23 05:28:54 PM,11.68,48.09,,,,,,
180,04/27/23 06:28:54 PM,11.66,47.80,,,,,,
181,04/27/23 07:28:54 PM,11.62,47.41,,,,,,
182,04/27/23 08:28:54 PM,11.60,46.90,,,,,,
183,04/27/23 09:28:54 PM,11.57,46.47,,,,,,
184,04/27/23 10:28:54 PM,11.56,46.08,,,,,,
185,04/27/23 11:28:54 PM,11.56,45.79,,,,,,
186,04/28/23 12:28:54 AM,11.55,45.61,,,,,,
187,04/28/23 01:28:54 AM,11.57,45.43,,,,,,
188,04/28/23 02:28:54 AM,11.60,45.28,,,,,,
189,04/28/23 03:28:54 AM,11.61,45.14,,,,,,
190,04/28/23 04:28:54 AM,11.62,45.00,,,,,,
191,04/28/23 05:28:54 AM,11.64,44.78,,,,,,
192,04/28/23 06:28:54 AM,11.67,44.56,,,,,,
193,04/28/23 07:28:54 AM,11.71,44.38,,,,,,
194,04/28/23 08:28:54 AM,11.75,44.35,,,,,,
195,04/28/23 09:28:54 AM,11.75,44.53,,,,,,
196,04/28/23 10:28:54 AM,11.79,44.96,,,,,,
197,04/28/23 11:28:54 AM,11.79,45.57,,,,,,
198,04/28/23 12:28:54 PM,11.75,46.33,,,,,,
199,04/28/23 01:28:54 PM,11.74,47.08,,,,,,
200,04/28/23 02:28:54 PM,11.68,47.80,,,,,,
201,04/28/23 03:28:54 PM,11.64,48.38,,,,,,
202,04/28/23 04:28:54 PM,11.59,48.70,,,,,,
203,04/28/23 05:28:54 PM,11.53,48.78,,,,,,
204,04/28/23 06:28:54 PM,11.47,48.56,,,,,,
205,04/28/23 07:28:54 PM,11.44,48.13,,,,,,
206,04/28/23 08:28:54 PM,11.40,47.62,,,,,,
207,04/28/23 09:28:54 PM,11.39,47.16,,,,,,
208,04/28/23 10:28:54 PM,11.39,46.80,,,,,,
209,04/28/23 11:28:54 PM,11.39,46.58,,,,,,
210,04/29/23 12:28:54 AM,11.38,46.47,,,,,,
211,04/29/23 01:28:54 AM,11.38,46.36,,,,,,
212,04/29/23 02:28:54 AM,11.41,46.22,,,,,,
213,04/29/23 03:28:54 AM,11.42,46.11,,,,,,
214,04/29/23 04:28:54 AM,11.44,45.93,,,,,,
215,04/29/23 05:28:54 AM,11.47,45.68,,,,,,
216,04/29/23 06:28:54 AM,11.50,45.43,,,,,,
217,04/29/23 07:28:54 AM,11.54,45.18,,,,,,
218,04/29/23 08:28:54 AM,11.57,45.10,,,,,,
219,04/29/23 09:28:54 AM,11.63,45.28,,,,,,
220,04/29/23 10:28:54 AM,11.65,45.72,,,,,,
221,04/29/23 11:28:54 AM,11.66,46.29,,,,,,
222,04/29/23 12:28:54 PM,11.64,46.98,,,,,,
223,04/29/23 01:28:54 PM,11.63,47.70,,,,,,
224,04/29/23 02:28:54 PM,11.60,48.38,,,,,,
225,04/29/23 03:28:54 PM,11.54,48.88,,,,,,
226,04/29/23 04:28:54 PM,11.49,49.17,,,,,,
227,04/29/23 05:28:54 PM,11.42,49.17,,,,,,
228,04/29/23 06:28:54 PM,11.39,48.88,,,,,,
229,04/29/23 07:28:54 PM,11.38,48.42,,,,,,
230,04/29/23 08:28:54 PM,11.36,47.88,,,,,,
231,04/29/23 09:28:54 PM,11.35,47.41,,,,,,
232,04/29/23 10:28:54 PM,11.35,47.05,,,,,,
233,04/29/23 11:28:54 PM,11.34,46.80,,,,,,
234,04/30/23 12:28:54 AM,11.35,46.62,,,,,,
235,04/30/23 01:28:54 AM,11.35,46.51,,,,,,
236,04/30/23 02:28:54 AM,11.35,46.40,,,,,,
237,04/30/23 03:28:54 AM,11.35,46.29,,,,,,
238,04/30/23 04:28:54 AM,11.36,46.18,,,,,,
239,04/30/23 05:28:54 AM,11.37,46.08,,,,,,
240,04/30/23 06:28:54 AM,11.38,45.90,,,,,,
241,04/30/23 07:28:54 AM,11.40,45.72,,,,,,
242,04/30/23 08:28:54 AM,11.44,45.61,,,,,,
243,04/30/23 09:28:54 AM,11.47,45.61,,,,,,
244,04/30/23 10:28:54 AM,11.49,45.75,,,,,,
245,04/30/23 11:28:54 AM,11.51,45.79,,,,,,
246,04/30/23 12:28:54 PM,11.49,45.82,,,,,,
247,04/30/23 01:28:54 PM,11.52,45.90,,,,,,
248,04/30/23 02:28:54 PM,11.51,46.04,,,,,,
249,04/30/23 03:28:54 PM,11.52,46.29,,,,,,
250,04/30/23 04:28:54 PM,11.52,46.58,,,,,,
251,04/30/23 05:28:54 PM,11.48,46.87,,,,,,
252,04/30/23 06:28:54 PM,11.46,46.80,,,,,,
253,04/30/23 07:28:54 PM,11.45,46.62,,,,,,
254,04/30/23 08:28:54 PM,11.44,46.36,,,,,,
255,04/30/23 09:28:54 PM,11.40,46.15,,,,,,
256,04/30/23 10:28:54 PM,11.38,45.90,,,,,,
257,04/30/23 11:28:54 PM,11.37,45.72,,,,,,
258,05/01/23 12:28:54 AM,11.36,45.57,,,,,,
259,05/01/23 01:28:54 AM,11.35,45.46,,,,,,
260,05/01/23 02:28:54 AM,11.35,45.39,,,,,,
261,05/01/23 03:28:54 AM,11.35,45.28,,,,,,
262,05/01/23 04:28:54 AM,11.36,45.14,,,,,,
263,05/01/23 05:28:54 AM,11.37,45.00,,,,,,
264,05/01/23 06:28:54 AM,11.35,44.89,,,,,,
265,05/01/23 07:28:54 AM,11.37,44.82,,,,,,
266,05/01/23 08:28:54 AM,11.38,44.89,,,,,,
267,05/01/23 09:28:54 AM,11.41,45.14,,,,,,
268,05/01/23 10:28:54 AM,11.41,45.68,,,,,,
269,05/01/23 11:28:54 AM,11.41,46.40,,,,,,
270,05/01/23 12:28:54 PM,11.39,47.05,,,,,,
271,05/01/23 01:28:54 PM,11.37,47.77,,,,,,
272,05/01/23 02:28:54 PM,11.33,48.24,,,,,,
273,05/01/23 03:28:54 PM,11.31,48.31,,,,,,
274,05/01/23 04:28:54 PM,11.30,48.38,,,,,,
275,05/01/23 05:28:54 PM,11.27,48.20,,,,,,
276,05/01/23 06:28:54 PM,11.26,47.91,,,,,,
277,05/01/23 07:28:54 PM,11.25,47.62,,,,,,
278,05/01/23 08:28:54 PM,11.24,47.30,,,,,,
279,05/01/23 09:28:54 PM,11.22,46.94,,,,,,
280,05/01/23 10:28:54 PM,11.20,46.62,,,,,,
281,05/01/23 11:28:54 PM,11.19,46.33,,,,,,
282,05/02/23 12:28:54 AM,11.17,46.11,,,,,,
283,05/02/23 01:28:54 AM,11.17,45.93,,,,,,
284,05/02/23 02:28:54 AM,11.15,45.82,,,,,,
285,05/02/23 03:28:54 AM,11.15,45.68,,,,,,
286,05/02/23 04:28:54 AM,11.17,45.57,,,,,,
287,05/02/23 05:28:54 AM,11.19,45.46,,,,,,
288,05/02/23 06:28:54 AM,11.19,45.39,,,,,,
289,05/02/23 07:28:54 AM,11.20,45.32,,,,,,
290,05/02/23 08:28:54 AM,11.22,45.46,,,,,,
291,05/02/23 09:28:54 AM,11.24,45.82,,,,,,
292,05/02/23 10:28:54 AM,11.24,46.36,,,,,,
293,05/02/23 11:28:54 AM,11.23,47.16,,,,,,
294,05/02/23 12:28:54 PM,11.20,48.09,,,,,,
295,05/02/23 01:28:54 PM,11.17,49.10,,,,,,
296,05/02/23 02:28:54 PM,11.12,50.00,,,,,,
297,05/02/23 03:28:54 PM,11.05,50.76,,,,,,
298,05/02/23 04:28:54 PM,11.01,51.19,,,,,,
299,05/02/23 05:28:54 PM,10.96,51.30,,,,,,
300,05/02/23 06:28:54 PM,10.92,51.08,,,,,,
301,05/02/23 07:28:54 PM,10.92,50.58,,,,,,
302,05/02/23 08:28:54 PM,10.93,49.89,,,,,,
303,05/02/23 09:28:54 PM,10.92,49.24,,,,,,
304,05/02/23 10:28:54 PM,10.95,48.70,,,,,,
305,05/02/23 11:28:54 PM,10.97,48.27,,,,,,
306,05/03/23 12:28:54 AM,11.00,47.98,,,,,,
307,05/03/23 01:28:54 AM,11.01,47.80,,,,,,
308,05/03/23 02:28:54 AM,11.01,47.66,,,,,,
309,05/03/23 03:28:54 AM,11.01,47.52,,,,,,
310,05/03/23 04:28:54 AM,11.02,47.41,,,,,,
311,05/03/23 05:28:54 AM,11.03,47.26,,,,,,
312,05/03/23 06:28:54 AM,11.02,47.16,,,,,,
313,05/03/23 07:28:54 AM,11.04,47.12,,,,,,
314,05/03/23 08:28:54 AM,11.05,47.23,,,,,,
315,05/03/23 09:28:54 AM,11.08,47.48,,,,,,
316,05/03/23 10:28:54 AM,11.10,47.91,,,,,,
317,05/03/23 11:28:54 AM,11.10,48.56,,,,,,
318,05/03/23 12:28:54 PM,11.09,49.28,,,,,,
319,05/03/23 01:28:54 PM,11.09,50.11,,,,,,
320,05/03/23 02:28:54 PM,11.04,50.86,,,,,,
321,05/03/23 03:28:54 PM,10.98,51.44,,,,,,
322,05/03/23 04:28:54 PM,10.93,51.80,,,,,,
323,05/03/23 05:28:54 PM,10.90,51.87,,,,,,
324,05/03/23 06:28:54 PM,10.85,51.58,,,,,,
325,05/03/23 07:28:54 PM,10.85,51.01,,,,,,
326,05/03/23 08:28:54 PM,10.83,50.32,,,,,,
327,05/03/23 09:28:54 PM,10.85,49.75,,,,,,
328,05/03/23 10:28:54 PM,10.85,49.35,,,,,,
329,05/03/23 11:28:54 PM,10.86,49.03,,,,,,
330,05/04/23 12:28:54 AM,10.86,48.78,,,,,,
331,05/04/23 01:28:54 AM,10.86,48.63,,,,,,
332,05/04/23 02:28:54 AM,10.87,48.49,,,,,,
333,05/04/23 03:28:54 AM,10.87,48.34,,,,,,
334,05/04/23 04:28:54 AM,10.87,48.24,,,,,,
335,05/04/23 05:28:54 AM,10.87,48.13,,,,,,
336,05/04/23 06:28:54 AM,10.86,47.98,,,,,,
337,05/04/23 07:28:54 AM,10.86,47.91,,,,,,
338,05/04/23 08:28:54 AM,10.89,47.91,,,,,,
339,05/04/23 09:28:54 AM,10.90,47.98,,,,,,
340,05/04/23 10:28:54 AM,10.92,47.98,,,,,,
341,05/04/23 11:28:54 AM,10.93,47.91,,,,,,
342,05/04/23 12:28:54 PM,10.95,47.88,,,,,,
343,05/04/23 01:28:54 PM,10.96,48.20,,,,,,
344,05/04/23 02:28:54 PM,10.96,48.67,,,,,,
345,05/04/23 03:28:54 PM,10.96,49.10,,,,,,
346,05/04/23 04:28:54 PM,10.97,49.39,,,,,,
347,05/04/23 05:28:54 PM,10.97,49.32,,,,,,
348,05/04/23 06:28:54 PM,10.96,48.99,,,,,,
349,05/04/23 07:28:54 PM,10.95,48.60,,,,,,
350,05/04/23 08:28:54 PM,10.97,48.24,,,,,,
351,05/04/23 09:28:54 PM,10.95,47.91,,,,,,
352,05/04/23 10:28:54 PM,10.94,47.66,,,,,,
353,05/04/23 11:28:54 PM,10.94,47.48,,,,,,
354,05/05/23 12:28:54 AM,10.94,47.41,,,,,,
355,05/05/23 01:28:54 AM,10.93,47.34,,,,,,
356,05/05/23 02:28:54 AM,10.94,47.26,,,,,,
357,05/05/23 03:28:54 AM,10.94,47.19,,,,,,
358,05/05/23 04:28:54 AM,10.94,47.16,,,,,,
359,05/05/23 05:28:54 AM,10.95,47.08,,,,,,
360,05/05/23 06:28:54 AM,10.95,47.05,,,,,,
361,05/05/23 07:28:54 AM,10.95,46.98,,,,,,
362,05/05/23 08:28:54 AM,10.96,46.98,,,,,,
363,05/05/23 09:07:43 AM,,,,,,Logged,Logged,Logged
